id_from,id_to,route_type,delay
60,61,drive,120
61,60,drive,120
62,63,drive,120
62,54,change,120
63,62,drive,120
63,64,drive,120
64,63,drive,120
64,65,drive,120
65,64,drive,120
65,66,drive,140
66,65,drive,140
66,67,drive,180
67,66,drive,180
67,68,drive,170
68,67,drive,170
68,69,drive,150
69,68,drive,150
69,70,drive,135
69,73,drive,270
69,86,change,240
69,51,change,180
70,69,drive,135
70,71,drive,120
71,70,drive,120
71,72,drive,70
72,71,drive,70
72,10,change,120
72,49,change,180
73,69,drive,270
73,74,drive,90
74,73,drive,90
75,76,drive,120
75,86,drive,180
75,12,change,240
76,75,drive,120
76,77,drive,180
76,99,change,120
77,76,drive,180
77,78,drive,180
77,151,change,120
78,77,drive,180
78,79,drive,180
78,30,change,180
79,78,drive,180
79,80,drive,180
79,136,change,120
79,123,change,120
80,79,drive,180
80,81,drive,180
80,47,change,180
80,167,change,240
81,80,drive,180
81,82,drive,240
81,5,change,300
82,81,drive,240
82,83,drive,120
82,94,change,180
83,82,drive,120
83,84,drive,180
83,146,change,120
84,83,drive,180
84,85,drive,180
84,25,change,120
85,84,drive,180
85,86,drive,180
85,119,change,120
86,85,drive,180
86,75,drive,180
86,69,change,240
86,51,change,120
87,88,drive,180
88,87,drive,180
88,89,drive,120
89,88,drive,120
89,90,drive,120
90,89,drive,120
90,91,drive,180
91,90,drive,180
91,92,drive,120
91,192,change,460
92,91,drive,120
92,93,drive,180
93,92,drive,180
93,94,drive,120
94,93,drive,120
94,95,drive,120
94,82,change,180
95,94,drive,120
95,96,drive,110
96,95,drive,110
96,97,drive,110
96,7,change,180
96,166,change,120
97,96,drive,110
97,98,drive,160
97,122,change,60
98,97,drive,160
98,99,drive,150
98,137,change,60
98,29,change,120
99,98,drive,150
99,100,drive,120
99,76,change,120
100,99,drive,120
100,101,drive,180
101,100,drive,180
101,102,drive,180
102,101,drive,180
102,103,drive,110
103,102,drive,110
103,104,drive,100
104,103,drive,100
104,105,drive,140
105,104,drive,140
105,106,drive,200
106,105,drive,200
106,107,drive,110
107,106,drive,110
107,108,drive,150
108,107,drive,150
108,109,drive,170
109,108,drive,170
109,110,drive,120
110,109,drive,120
111,112,drive,110
112,111,drive,110
112,113,drive,200
113,112,drive,200
113,114,drive,220
114,113,drive,220
114,115,drive,160
115,114,drive,160
115,116,drive,170
116,115,drive,170
116,117,drive,130
117,116,drive,130
117,118,drive,110
118,117,drive,110
118,119,drive,120
119,118,drive,120
119,120,drive,150
119,85,change,120
120,119,drive,150
120,121,drive,120
120,148,change,180
120,27,change,120
121,120,drive,120
121,122,drive,120
121,8,change,180
122,121,drive,120
122,123,drive,180
122,97,change,60
123,122,drive,180
123,124,drive,120
123,79,change,120
123,136,change,180
124,123,drive,120
124,125,drive,120
124,169,change,180
125,124,drive,120
125,126,drive,240
126,125,drive,240
126,127,drive,180
127,126,drive,180
127,128,drive,180
128,127,drive,180
128,129,drive,120
129,128,drive,120
130,131,drive,200
131,130,drive,200
131,132,drive,120
132,131,drive,120
132,133,drive,180
133,132,drive,180
133,134,drive,120
134,133,drive,120
134,135,drive,180
135,134,drive,180
135,136,drive,120
135,168,change,120
136,135,drive,120
136,137,drive,120
136,79,change,120
136,123,change,180
137,136,drive,120
137,98,change,60
137,29,change,120
138,139,drive,180
139,138,drive,180
139,140,drive,180
140,139,drive,180
140,141,drive,180
141,140,drive,180
141,142,drive,180
142,141,drive,180
142,143,drive,180
143,142,drive,180
143,144,drive,90
143,188,change,330
144,143,drive,90
144,145,drive,110
145,144,drive,110
145,146,drive,105
146,145,drive,105
146,147,drive,130
146,83,change,120
147,146,drive,130
147,148,drive,120
147,165,change,200
148,147,drive,120
148,149,drive,180
148,120,change,180
148,27,change,180
149,148,drive,180
149,150,drive,120
149,10,change,300
149,49,change,120
150,149,drive,120
150,151,drive,120
151,150,drive,120
151,152,drive,180
151,77,change,120
152,151,drive,180
152,153,drive,240
153,152,drive,240
153,154,drive,120
154,153,drive,120
154,155,drive,120
155,154,drive,120
155,156,drive,120
156,155,drive,120
156,157,drive,120
156,182,change,60
157,156,drive,120
157,158,drive,180
158,157,drive,180
158,159,drive,120
159,158,drive,120
159,160,drive,180
160,159,drive,180
160,161,drive,120
161,160,drive,120
161,162,drive,120
162,161,drive,120
162,183,change,60
163,164,drive,170
164,163,drive,170
164,165,drive,160
165,164,drive,160
165,166,drive,130
165,147,change,200
166,165,drive,130
166,167,drive,160
166,96,change,120
166,7,change,150
167,166,drive,160
167,168,drive,180
167,80,change,240
167,47,change,120
168,167,drive,180
168,169,drive,130
168,135,change,120
169,168,drive,130
169,170,drive,130
169,124,change,180
170,169,drive,130
170,171,drive,120
171,170,drive,120
171,172,drive,225
172,171,drive,225
172,173,drive,145
173,172,drive,145
173,174,drive,180
174,173,drive,180
174,175,drive,180
175,174,drive,180
175,176,drive,120
176,175,drive,120
176,177,drive,180
177,176,drive,180
177,178,drive,140
178,177,drive,140
178,179,drive,95
179,178,drive,95
179,38,change,210
180,181,drive,180
180,33,change,60
181,180,drive,180
181,182,drive,180
182,181,drive,180
182,156,change,60
183,184,drive,240
183,162,change,60
184,183,drive,240
184,185,drive,120
185,184,drive,120
185,186,drive,120
186,185,drive,120
186,187,drive,120
187,186,drive,120
188,189,drive,150
188,143,change,330
189,188,drive,150
189,190,drive,250
190,189,drive,250
190,191,drive,195
191,190,drive,195
191,192,drive,180
192,191,drive,180
192,193,drive,210
192,91,change,460
193,192,drive,210
