headEntity	tailEntity	relation
9	426	16
9	1389	16
9	2524	16
9	2	16
9	2960	16
9	3111	16
9	2241	16
9	436	16
9	2223	16
9	2671	16
9	429	16
9	875	16
9	2229	16
9	4	16
9	427	16
9	1820	16
9	1398	16
9	428	16
9	3114	16
9	895	16
9	880	16
9	874	16
9	1396	16
9	3	16
9	2224	16
9	877	16
9	2672	16
9	2675	16
9	1821	16
9	887	16
9	3102	16
9	3113	16
9	2268	16
9	2250	16
9	2244	16
9	3118	16
9	1814	16
9	2228	16
9	2670	16
9	1816	16
9	1819	16
9	2685	16
9	1832	16
9	896	16
9	1813	16
9	13	16
9	443	16
9	2235	16
9	16	16
9	6	16
9	2230	16
9	441	16
9	873	16
9	878	16
9	897	16
9	3121	16
9	882	16
9	5	16
9	2669	16
9	3109	16
9	447	16
9	1822	16
9	3110	16
9	967	16
9	1394	16
9	15	16
9	888	16
9	2242	16
9	3105	16
9	434	16
9	2683	16
9	2684	16
9	2232	16
9	1409	16
9	2245	16
9	2226	16
9	2668	16
9	0	16
9	433	16
9	1400	16
9	2227	16
9	1843	16
9	2666	16
9	2683	40
9	2241	40
9	2960	40
9	1404	40
9	880	40
9	493	40
9	9	11
10	2244	40
10	1822	40
10	2	40
10	12	40
10	1406	40
10	10	11
10	1398	16
10	2247	16
10	3112	16
10	2268	16
10	432	16
10	1407	16
10	2684	16
10	12	16
10	1406	16
10	895	16
10	426	16
10	1389	16
10	2	16
10	2223	16
10	2248	16
10	436	16
10	3105	16
10	4	16
11	1395	40
11	1403	40
11	2	40
11	894	40
11	11	11
11	2247	16
11	2235	16
11	1389	16
11	1819	16
11	1395	16
11	426	16
11	428	16
11	894	16
11	3111	16
11	1403	16
11	892	16
11	2684	16
11	2	16
11	2229	16
11	436	16
11	2248	16
11	4	16
11	3177	61
12	12	11
12	427	16
12	4	16
12	1398	16
12	2247	16
12	1819	16
12	1828	16
12	2227	16
12	2671	16
12	3112	16
12	892	16
12	895	16
12	432	16
12	10	16
12	2684	16
12	1407	16
12	1822	16
12	2670	16
12	1396	16
12	1389	16
12	2248	16
12	2	16
12	436	16
12	3114	16
12	2223	16
12	10	40
12	1822	40
12	3112	40
12	2244	40
12	1073	40
12	1977	58
13	2246	40
13	2247	40
13	13	11
13	2524	16
13	4	16
13	1398	16
13	891	16
13	2247	16
13	9	16
13	2671	16
13	2241	16
13	2	16
13	875	16
13	2960	16
13	894	16
13	434	16
13	7	16
13	2227	16
13	2263	16
13	1388	16
13	2243	16
13	1404	16
13	3112	16
13	1483	16
13	2246	16
13	2683	16
13	428	16
13	892	16
13	432	16
13	895	16
13	2670	16
13	2684	16
13	1834	16
13	436	16
13	1389	16
13	3111	16
13	1819	16
13	2248	16
13	3105	16
13	2666	16
13	1816	16
13	219	61
14	1389	11
14	2268	11
14	2907	11
14	481	11
14	462	11
14	2309	11
14	494	11
15	4	16
15	3120	16
15	1832	16
15	2684	16
15	2524	16
15	426	16
15	1389	16
15	436	16
15	2	16
15	2248	16
15	9	16
15	15	11
15	496	47
15	2322	61
15	434	40
15	896	40
15	3116	40
15	2257	40
15	444	40
15	1413	40
15	1832	40
16	16	11
16	3178	11
16	3	16
16	4	16
16	1412	16
16	1398	16
16	877	16
16	9	16
16	3121	16
16	897	16
16	2671	16
16	2268	16
16	1394	16
16	433	16
16	1820	16
16	1	16
16	2684	16
16	1406	16
16	2250	16
16	2670	16
16	426	16
16	1819	16
16	1389	16
16	436	16
16	2	16
16	3105	16
16	1388	16
16	1409	16
16	2666	16
16	3121	40
16	2254	40
16	1409	40
16	3117	40
17	444	40
17	1831	40
17	17	11
17	1831	16
17	2684	16
17	426	16
17	2	16
17	2248	16
17	4	16
17	2666	16
17	2267	61
18	3115	40
18	2677	40
18	442	40
18	874	40
18	3118	40
18	2960	40
18	2259	40
18	1388	40
18	447	40
18	2254	40
18	3	16
18	4	16
18	2247	16
18	1819	16
18	3120	16
18	892	16
18	3104	16
18	2677	16
18	2227	16
18	2960	16
18	3112	16
18	2224	16
18	875	16
18	428	16
18	2684	16
18	426	16
18	3115	16
18	1389	16
18	2	16
18	3111	16
18	2248	16
18	1388	16
18	2666	16
18	18	11
18	1712	19
18	276	65
19	436	11
19	436	80
19	901	40
19	905	40
20	436	11
20	436	80
20	904	40
20	1415	40
20	2260	40
21	470	61
21	1122	83
21	436	11
22	2277	58
22	1420	84
23	923	61
23	62	61
23	971	61
23	3162	46
23	2353	46
23	506	40
23	1514	40
23	62	40
23	2268	40
23	2228	40
23	1858	40
23	224	40
23	2298	40
23	1449	40
23	472	40
23	2227	40
23	2301	40
23	1814	40
23	0	40
23	3101	40
23	3166	40
23	2669	40
23	1435	40
23	2771	40
23	3158	40
23	23	11
24	783	84
24	1297	84
24	25	84
24	64	84
24	24	11
24	450	61
25	24	58
25	64	58
25	428	83
25	1930	83
25	2722	40
25	2700	40
25	2291	40
25	1841	61
26	958	11
26	916	11
26	3132	11
26	3131	11
26	1022	11
26	916	61
26	3106	83
26	3114	83
27	1438	22
27	436	11
27	1417	40
27	2260	40
27	1415	40
27	1438	40
27	2220	40
27	436	80
28	2671	40
28	2701	11
28	1424	46
28	1425	46
28	2271	46
28	1424	84
28	1425	84
28	2271	84
28	426	16
28	1453	38
29	29	11
29	1443	61
29	926	61
29	466	61
30	1022	83
32	3000	84
33	2524	40
33	33	11
33	2524	89
34	1871	83
34	1	90
34	499	61
34	2815	61
34	1494	40
34	34	11
35	432	11
36	2683	11
36	1404	11
36	9	11
36	492	61
37	1297	84
37	2591	84
37	3501	61
37	2893	61
37	1993	61
38	38	11
39	2287	84
39	2791	58
40	4	11
41	1679	61
41	783	11
41	3313	11
41	1467	11
41	499	11
41	2709	11
41	1889	11
43	81	84
43	25	80
43	539	58
43	2960	11
45	1402	84
45	483	61
46	1827	11
47	1902	38
47	1437	93
47	1902	92
48	563	22
48	2310	52
48	1459	52
48	459	52
48	3249	52
48	944	52
48	1865	52
48	1465	52
48	2787	52
48	456	61
49	3125	22
49	427	11
49	979	40
50	58	40
51	2830	84
52	1864	58
52	1427	84
53	490	83
54	1931	58
54	2830	80
54	456	11
54	2705	83
55	2671	16
55	2670	16
55	1534	16
55	426	16
56	2268	11
56	1815	83
56	2268	80
57	1816	11
58	3165	52
58	3137	52
58	456	40
58	946	40
58	1864	40
58	1427	40
58	1875	40
58	25	40
58	462	40
58	2309	40
58	2226	40
58	1869	40
58	50	40
58	1280	40
58	58	11
60	499	58
60	2743	58
60	1482	84
60	1470	40
60	60	11
61	427	11
62	1514	61
62	23	83
62	23	40
62	1858	40
62	2771	40
62	2733	40
62	1312	40
62	3166	40
62	2669	40
62	1397	40
64	24	58
64	25	84
64	24	55
65	2283	84
66	2268	11
66	2268	80
66	1390	83
66	1390	61
66	1390	38
66	237	65
67	67	11
67	104	83
67	961	83
67	441	83
67	886	83
67	3	40
67	1821	40
67	2670	40
67	961	40
67	476	40
68	3384	58
71	2226	90
72	2389	83
72	72	11
73	462	11
73	506	83
73	58	61
73	462	80
74	2277	11
76	432	11
80	2306	58
80	2306	84
81	43	58
81	1451	84
81	2960	11
82	2267	11
82	1874	11
83	432	11
85	18	11
88	2012	61
88	1601	84
92	1406	11
93	447	11
95	3319	61
95	3166	83
95	1312	83
95	1392	11
102	906	80
102	2907	11
103	2667	11
103	2333	61
103	2830	58
104	887	11
104	67	61
104	2413	83
106	1540	58
106	940	84
107	2814	11
110	2124	97
112	957	84
114	427	11
115	2903	61
115	1863	11
115	456	11
117	1843	62
117	1843	16
117	4	16
117	4	83
117	174	61
117	117	11
117	1433	40
117	1843	40
117	3102	40
117	2671	40
117	2669	40
120	1855	11
123	2277	11
124	572	61
124	1027	83
124	572	58
124	1027	84
125	462	11
125	471	83
125	3229	61
127	1674	83
127	1482	52
127	1473	52
127	3150	52
127	1423	52
127	476	52
128	880	11
129	1855	11
129	1855	80
129	436	80
131	2244	11
131	2244	80
132	1413	11
133	133	11
134	2284	11
134	2284	80
134	1895	40
136	891	11
136	2960	11
141	447	11
144	2667	11
145	427	11
145	456	29
146	492	83
150	489	61
150	3121	83
151	2811	84
151	1764	84
151	1544	11
151	2664	80
152	2811	84
157	2252	52
157	1388	52
157	2249	52
157	898	52
157	447	52
157	3115	52
160	3346	61
160	2015	83
161	1679	83
161	1436	102
163	3164	61
163	3164	83
163	163	11
166	2012	83
166	1110	61
167	920	40
167	3142	40
167	2363	40
167	993	40
167	991	58
167	920	84
167	436	11
169	2223	11
169	3013	83
170	2409	58
171	3508	38
172	2252	84
174	1437	52
174	923	52
174	23	52
174	174	11
174	117	83
174	1843	83
174	4	83
176	3166	11
176	833	61
177	1473	83
177	1207	11
177	1473	84
183	3508	38
184	879	11
185	895	11
186	1611	61
186	436	11
190	2671	11
191	4	11
193	2671	11
197	1477	11
198	2244	11
199	1477	83
199	1591	38
203	891	11
204	1855	11
207	874	11
211	906	80
211	2907	11
213	1482	11
213	2667	11
213	1889	58
213	1985	40
213	2036	40
213	215	40
213	1889	65
215	1482	11
215	2667	11
215	2036	40
215	213	40
215	34	40
215	60	40
215	2264	84
215	499	58
217	1813	83
219	13	83
224	23	40
224	506	40
224	2771	40
224	966	40
225	1874	80
226	432	11
227	3037	61
227	736	61
227	991	83
227	2975	83
227	1872	83
227	436	11
230	891	11
230	1253	40
231	3121	11
234	3166	11
234	3393	41
237	66	65
237	1390	83
239	1482	11
239	1470	11
239	2667	11
239	3333	40
239	2036	40
239	1985	40
239	60	40
239	1470	40
239	1477	40
239	1679	65
241	518	84
243	1389	110
243	426	110
243	2683	110
243	1402	110
243	3111	110
243	4	110
246	1659	58
246	2811	84
252	486	11
252	486	115
253	2667	11
254	875	11
257	1883	83
258	2281	11
262	1245	58
262	2299	11
262	2705	83
266	3167	11
267	1473	83
267	1473	84
269	891	11
270	2742	83
270	1441	83
273	436	11
274	891	11
277	2041	58
277	2042	38
277	429	84
277	1433	80
277	2042	80
277	1433	11
277	2042	11
278	432	11
280	2	11
288	1658	84
288	2207	58
288	949	65
289	1405	116
292	436	11
292	436	80
292	448	83
292	2925	61
304	11	11
314	663	80
314	436	80
314	436	11
320	2078	65
322	897	83
322	897	84
323	2	11
338	3084	40
338	450	40
339	2436	84
339	1583	61
341	2237	83
342	1577	13
345	908	11
354	432	11
355	18	11
356	874	11
358	432	11
359	432	11
360	2009	38
361	1815	11
363	3107	83
363	2	83
363	2684	83
363	453	61
363	952	61
363	1430	60
363	363	11
363	958	40
363	2684	65
364	3393	41
371	908	11
371	908	80
374	891	11
377	481	61
377	2970	83
385	385	11
387	432	11
388	432	11
389	432	11
402	2725	83
414	3126	61
415	432	11
416	432	11
417	432	11
418	432	11
419	432	11
420	36	11
422	2667	11
423	1470	83
425	1439	58
425	1448	58
425	436	11
425	1439	46
426	894	16
426	879	16
426	2	16
426	4	16
426	1389	16
426	1398	16
426	9	16
426	3	16
426	1402	16
426	1819	16
426	2524	16
426	2223	16
426	427	16
426	1397	16
426	1820	16
426	1409	16
426	436	16
426	2228	16
426	1412	16
426	891	16
426	3122	16
426	1396	16
426	2224	16
426	2671	16
426	877	16
426	1404	16
426	2683	16
426	3114	16
426	2248	16
426	895	16
426	874	16
426	2672	16
426	2232	16
426	429	16
426	428	16
426	2675	16
426	2670	16
426	1393	16
426	1832	16
426	884	16
426	2247	16
426	2229	16
426	875	16
426	1821	16
426	2242	16
426	2684	16
426	1411	16
426	462	16
426	2226	16
426	11	16
426	28	16
426	1406	16
426	441	16
426	8	16
426	1395	16
426	2230	16
426	1814	16
426	3118	16
426	2257	16
426	0	16
426	443	16
426	1834	16
426	893	16
426	3105	16
426	2268	16
426	2669	16
426	16	16
426	7	16
426	1424	16
426	434	16
426	2235	16
426	2252	16
426	2677	16
426	1410	16
426	2674	16
426	6	16
426	2244	16
426	1822	16
426	1818	16
426	431	16
426	888	16
426	1407	16
426	3116	16
426	1392	16
426	1401	16
426	2681	16
426	2227	16
426	1813	16
426	2682	16
426	886	16
426	2253	16
426	880	16
426	1829	16
426	2239	16
426	2254	16
426	881	16
426	2255	16
426	2231	16
426	439	16
426	3110	16
426	1400	16
426	3103	16
426	444	16
426	2256	16
426	1399	16
426	445	16
426	885	16
426	890	16
426	2666	16
426	2679	16
426	876	16
426	432	16
426	2258	16
426	3101	16
426	3112	16
426	892	16
426	3109	16
426	440	16
426	1403	16
426	2259	16
426	446	16
426	3108	16
426	10	16
426	1831	16
426	3119	16
426	2685	16
426	15	16
426	2676	16
426	2263	16
426	2678	16
426	430	16
426	3120	16
426	1868	16
426	5	16
426	1815	16
426	3107	16
426	878	16
426	2245	16
426	438	16
426	2238	16
426	1823	16
426	882	16
426	1413	16
426	435	16
426	897	16
426	1	16
426	898	16
426	1825	16
426	3121	16
426	896	16
426	2240	16
426	2668	16
426	55	16
426	1816	16
426	2686	16
426	17	16
426	1391	16
426	18	16
426	1408	16
426	2237	16
426	1827	16
426	3115	16
426	899	16
426	2249	16
426	437	16
426	1405	16
426	447	16
426	1390	16
426	2251	16
426	2243	16
426	3117	16
426	1833	16
426	1483	16
426	1817	16
426	873	16
426	2670	40
426	2524	40
426	1389	40
426	1394	40
426	2240	40
426	2680	40
426	441	40
426	978	40
426	1401	40
426	439	40
426	2223	40
426	440	40
426	3110	40
426	1823	40
426	2236	40
426	2268	40
426	462	40
426	935	61
426	913	46
426	2696	46
426	482	46
426	426	11
427	427	11
427	879	16
427	1817	16
427	2672	16
427	0	16
427	2674	16
427	3104	16
427	1392	16
427	880	16
427	429	16
427	2227	16
427	2231	16
427	1813	16
427	2671	16
427	4	16
427	2229	16
427	2666	16
427	876	16
427	873	16
427	2263	16
427	1390	16
427	1397	16
427	2228	16
427	3101	16
427	5	16
427	1815	16
427	430	16
427	1393	16
427	1814	16
427	2224	16
427	2668	16
427	878	16
427	1	16
427	1816	16
427	1389	16
427	2234	16
427	1819	16
427	1391	16
427	2232	16
427	2667	16
427	2226	16
427	2669	16
427	877	16
427	875	16
427	1820	16
427	2524	16
427	6	16
427	2670	16
427	3109	16
427	1821	16
427	426	16
427	2230	16
427	2960	16
427	3111	16
427	1402	16
427	9	16
427	1388	16
427	1404	16
427	2259	16
427	1834	16
427	433	16
427	443	16
427	428	16
427	894	16
427	2235	16
427	1398	16
427	2675	16
427	3105	16
427	436	16
427	432	16
427	2223	16
427	435	16
427	892	16
427	2	16
427	3114	16
427	12	16
427	1406	16
427	3102	16
427	895	16
427	3106	16
427	887	16
427	3	16
427	891	16
427	1435	16
427	874	16
427	2684	16
427	2248	16
427	3166	61
427	3125	22
427	3166	58
427	2234	40
427	2233	40
427	2671	40
427	2669	40
427	1435	40
427	3102	40
427	2232	40
427	5	40
428	428	11
428	2524	16
428	427	16
428	3	16
428	1389	16
428	4	16
428	3107	16
428	1398	16
428	891	16
428	2229	16
428	9	16
428	877	16
428	2247	16
428	2	16
428	426	16
428	1814	16
428	3104	16
428	2268	16
428	2235	16
428	2683	16
428	6	16
428	2675	16
428	878	16
428	2671	16
428	894	16
428	1362	16
428	2960	16
428	1402	16
428	1820	16
428	3102	16
428	879	16
428	434	16
428	0	16
428	2674	16
428	1813	16
428	1392	16
428	2227	16
428	874	16
428	3105	16
428	432	16
428	2667	16
428	2676	16
428	2263	16
428	2243	16
428	1483	16
428	435	16
428	892	16
428	2669	16
428	1834	16
428	1816	16
428	11	16
428	2668	16
428	443	16
428	18	16
428	433	16
428	3120	16
428	5	16
428	3112	16
428	2670	16
428	895	16
428	2684	16
428	13	16
428	875	16
428	3111	16
428	2226	16
428	436	16
428	1819	16
428	2248	16
428	2223	16
428	2666	16
428	25	61
428	2229	40
428	3104	40
428	2683	40
428	1402	40
428	2235	40
428	3111	40
428	3105	40
428	2675	40
428	2268	40
428	2722	40
428	483	40
428	2721	40
428	485	40
428	1457	40
428	493	40
429	427	16
429	3	16
429	4	16
429	1397	16
429	9	16
429	1398	16
429	1391	16
429	2668	16
429	426	16
429	2524	16
429	2672	16
429	2259	16
429	2263	16
429	876	16
429	3102	16
429	3104	16
429	887	16
429	878	16
429	2227	16
429	3107	16
429	2230	16
429	3112	16
429	892	16
429	2684	16
429	895	16
429	2670	16
429	2229	16
429	2	16
429	2666	16
429	1433	61
429	277	61
429	277	58
429	1391	40
429	2668	40
429	4	40
429	3102	40
429	429	11
430	2671	40
430	427	16
430	4	16
430	2671	16
430	2223	16
430	2684	16
430	426	16
430	1389	16
430	430	11
431	1400	40
431	2670	40
431	4	16
431	3	16
431	1400	16
431	2684	16
431	2670	16
431	426	16
431	431	11
432	432	11
432	2524	16
432	427	16
432	3	16
432	4	16
432	1398	16
432	1389	16
432	426	16
432	3112	16
432	2247	16
432	895	16
432	3120	16
432	3119	16
432	897	16
432	1388	16
432	1483	16
432	875	16
432	877	16
432	1822	16
432	3104	16
432	887	16
432	2227	16
432	2671	16
432	881	16
432	2960	16
432	2244	16
432	1407	16
432	1820	16
432	6	16
432	3102	16
432	1394	16
432	434	16
432	2674	16
432	0	16
432	433	16
432	2667	16
432	1396	16
432	2226	16
432	2668	16
432	2669	16
432	1821	16
432	428	16
432	1	16
432	1814	16
432	435	16
432	882	16
432	441	16
432	3108	16
432	1402	16
432	891	16
432	10	16
432	2245	16
432	892	16
432	1405	16
432	2684	16
432	12	16
432	13	16
432	1406	16
432	2249	16
432	2670	16
432	3114	16
432	1819	16
432	3106	16
432	2223	16
432	3111	16
432	2	16
432	436	16
432	2248	16
432	884	16
432	2229	16
432	3105	16
432	2666	16
432	2732	61
432	2765	61
432	881	40
432	3112	40
432	882	40
432	1396	40
432	895	40
432	1398	40
432	12	40
432	436	40
432	438	40
432	1406	40
433	433	11
433	2524	16
433	427	16
433	3	16
433	4	16
433	1398	16
433	1409	16
433	877	16
433	3122	16
433	875	16
433	1820	16
433	16	16
433	1410	16
433	3104	16
433	2960	16
433	1813	16
433	3103	16
433	436	16
433	873	16
433	2258	16
433	3112	16
433	2259	16
433	446	16
433	2685	16
433	892	16
433	1833	16
433	3121	16
433	1483	16
433	3117	16
433	464	16
433	897	16
433	3111	16
433	888	16
433	432	16
433	1814	16
433	895	16
433	1394	16
433	1396	16
433	2669	16
433	428	16
433	1405	16
433	2684	16
433	2250	16
433	2223	16
433	1389	16
433	2	16
433	2227	16
433	2229	16
433	1819	16
433	2248	16
433	2670	16
433	2671	16
433	9	16
433	1388	16
433	3121	40
433	1410	40
433	2258	40
433	2250	40
433	3122	40
433	1833	40
434	434	11
434	4	16
434	2672	16
434	877	16
434	1819	16
434	9	16
434	2247	16
434	2259	16
434	3120	16
434	1388	16
434	1483	16
434	2671	16
434	2524	16
434	880	16
434	432	16
434	464	16
434	428	16
434	2960	16
434	3112	16
434	892	16
434	2684	16
434	13	16
434	443	16
434	426	16
434	1389	16
434	2670	16
434	2223	16
434	436	16
434	2229	16
434	2	16
434	2248	16
434	3105	16
434	2666	16
434	3120	40
434	2259	40
434	896	40
434	15	40
434	443	40
434	1832	40
435	435	11
435	2524	16
435	427	16
435	4	16
435	1434	16
435	1398	16
435	2247	16
435	877	16
435	1819	16
435	875	16
435	2224	16
435	2667	16
435	1396	16
435	428	16
435	2227	16
435	2671	16
435	3112	16
435	432	16
435	1407	16
435	892	16
435	2684	16
435	426	16
435	2226	16
435	1389	16
435	3106	16
435	2	16
435	884	16
435	2229	16
435	436	16
435	2223	16
435	2248	16
435	2960	16
435	2670	16
435	3105	16
435	1398	40
436	436	11
436	427	16
436	3	16
436	1389	16
